                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 4.0348,                 2.7433,                 2.0271,                0.66274,                0.57888,                0.62607,                0.27899,                 3.8695,                 2.4065,                 1.8501,                0.00505,                0.00505,                0.00505
                     52,                 4.0149,                 2.7041,                 2.0224,                0.67798,                0.56875,                0.61578,                0.27298,                 3.8638,                 2.3653,                 1.8598,               0.004951,               0.004951,               0.004951
                     53,                 4.0016,                  2.719,                 2.0279,                0.67116,                0.58791,                0.62605,                0.27863,                 3.8627,                 2.3554,                 1.8585,               0.004852,               0.004852,               0.004852
                     54,                 3.9904,                 2.6956,                 2.0217,                0.68234,                0.57857,                0.62672,                 0.2769,                 3.8724,                 2.3833,                 1.8561,               0.004753,               0.004753,               0.004753
                     55,                 3.9901,                 2.6613,                 2.0239,                0.67207,                0.59035,                0.63049,                0.27909,                 3.8777,                 2.3522,                 1.8604,               0.004654,               0.004654,               0.004654
                     56,                 3.9809,                 2.6884,                 2.0228,                0.68006,                0.58876,                0.63755,                0.28073,                 3.8613,                 2.3111,                 1.8639,               0.004555,               0.004555,               0.004555
                     57,                 3.9758,                 2.6698,                 2.0149,                0.68366,                0.58969,                0.63615,                0.28266,                 3.8473,                 2.3349,                 1.8545,               0.004456,               0.004456,               0.004456
                     58,                 3.9481,                 2.6298,                 2.0129,                0.69117,                0.58444,                0.63696,                0.28692,                 3.8564,                 2.3295,                 1.8557,               0.004357,               0.004357,               0.004357
                     59,                 3.9485,                 2.6458,                 2.0087,                0.67786,                0.59055,                0.63715,                0.28418,                 3.8432,                 2.3436,                 1.8543,               0.004258,               0.004258,               0.004258
                     60,                 3.9258,                 2.6432,                 2.0112,                0.67006,                0.58373,                0.63518,                0.28483,                 3.8269,                 2.3306,                 1.8502,               0.004159,               0.004159,               0.004159
                     61,                 3.9457,                 2.6279,                 2.0057,                0.70564,                0.57796,                0.64158,                0.28588,                 3.8155,                 2.3189,                 1.8517,                0.00406,                0.00406,                0.00406
                     62,                 3.9369,                 2.6117,                 2.0023,                0.68879,                0.57518,                0.63678,                0.28623,                  3.814,                 2.3338,                 1.8488,               0.003961,               0.003961,               0.003961
                     63,                 3.9086,                 2.5679,                 1.9999,                0.69658,                0.57695,                0.64102,                0.28967,                 3.7907,                 2.2947,                  1.846,               0.003862,               0.003862,               0.003862
                     64,                 3.9172,                 2.5796,                 1.9921,                0.70152,                0.57759,                0.64138,                 0.2902,                 3.7959,                 2.3061,                 1.8486,               0.003763,               0.003763,               0.003763
                     65,                 3.8957,                 2.5711,                 1.9983,                0.68514,                0.58651,                0.64392,                0.29131,                 3.7985,                 2.3341,                 1.8481,               0.003664,               0.003664,               0.003664
