                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.7271,                 1.0555,                 1.0002,                0.72631,                0.64279,                 0.6928,                0.31982,                 1.8504,                 1.0857,                0.96025,               0.004357,               0.004357,               0.004357
                     60,                 1.7316,                 1.0468,                0.99449,                0.73078,                  0.636,                0.69143,                0.32194,                  1.852,                 1.0818,                0.95741,               0.004258,               0.004258,               0.004258
                     61,                 1.7192,                 1.0321,                0.98997,                0.73233,                0.63754,                0.69415,                0.32323,                  1.839,                  1.082,                 0.9568,               0.004159,               0.004159,               0.004159
                     62,                 1.7179,                 1.0343,                0.99453,                0.73303,                0.64711,                0.69555,                0.32863,                 1.8333,                 1.0618,                0.95601,                0.00406,                0.00406,                0.00406
                     63,                 1.7119,                 1.0352,                0.99186,                0.73555,                0.64576,                0.69686,                0.32688,                 1.8438,                 1.0551,                0.95902,               0.003961,               0.003961,               0.003961
                     64,                 1.7125,                 1.0213,                0.98767,                0.72546,                 0.6437,                0.69473,                0.32856,                 1.8329,                 1.0435,                0.95858,               0.003862,               0.003862,               0.003862
                     65,                 1.6931,                 1.0156,                0.98522,                0.72475,                0.63977,                0.69565,                 0.3279,                 1.8268,                  1.048,                0.95659,               0.003763,               0.003763,               0.003763
                     66,                 1.6899,                 1.0127,                0.98922,                0.73275,                0.63657,                0.69699,                0.32981,                  1.833,                 1.0539,                0.95927,               0.003664,               0.003664,               0.003664
                     67,                 1.6876,                 1.0118,                 0.9823,                0.72884,                0.64063,                0.69702,                0.32793,                 1.8316,                 1.0591,                0.95732,               0.003565,               0.003565,               0.003565
                     68,                 1.6714,                 0.9909,                0.98295,                0.72754,                 0.6414,                0.69834,                0.33099,                 1.8187,                 1.0488,                0.95412,               0.003466,               0.003466,               0.003466
                     69,                 1.6554,                0.97928,                0.97645,                0.72598,                0.64372,                0.70069,                0.33209,                 1.8179,                 1.0415,                0.95417,               0.003367,               0.003367,               0.003367
                     70,                 1.6592,                0.97781,                 0.9775,                0.72519,                0.64989,                0.70297,                0.33356,                 1.8121,                 1.0433,                0.95402,               0.003268,               0.003268,               0.003268
